speaker,ref_words,WER,kind
.fs-f-geinterviewde_4_nos_journaal-20uur_2007_02_18,50,14.0,whisper_large_v3
.fs-f-geinterviewde_5_nos_journaal-20uur_2007_02_18,71,16.9,whisper_large_v3
.fs-f-geinterviewde_6_nos_journaal-20uur_2007_02_18,66,10.6,whisper_large_v3
.fs-f-jeanet_schuurman,586,23.2,whisper_large_v3
.fs-f-lara_rense,383,189.3,whisper_large_v3
.fs-f-marieke_de_vries,203,17.7,whisper_large_v3
.fs-f-tanja_braun,161,9.9,whisper_large_v3
.fs-f-voorlezer_1_nos_journaal-20uur_2007_02_18,19,36.8,whisper_large_v3
.fs-n-f-jeanet_schuurman,24,16.7,whisper_large_v3
.ms-m-geinterviewde_1_nos_journaal-20uur_2007_02_18,50,30.0,whisper_large_v3
.ms-m-geinterviewde_2_nos_journaal-20uur_2007_02_18,69,15.9,whisper_large_v3
.ms-m-geinterviewde_3_nos_journaal-20uur_2007_02_18,49,24.5,whisper_large_v3
.ms-m-geinterviewde_7_nos_journaal-20uur_2007_02_18,64,28.1,whisper_large_v3
.ms-m-geinterviewde_8_nos_journaal-20uur_2007_02_18,103,34.0,whisper_large_v3
.ms-m-herman_van_gunsteren,164,20.1,whisper_large_v3
.ms-m-lex_runderkamp,254,92.5,whisper_large_v3
.ms-m-martijn_van_der_kooi,255,26.7,whisper_large_v3
.ms-m-peter_ter_velde,143,62.9,whisper_large_v3
.ms-m-rens,669,103.9,whisper_large_v3
.ms-m-robert_bas,16,100.0,whisper_large_v3
.ms-m-verslaggever_1_bnr_003_2007_02_06,65,18.5,whisper_large_v3
.ms-m-wouter_de_winter,31,109.7,whisper_large_v3
.ms-n-m-frank_heemskerk,312,24.0,whisper_large_v3
.ms-n-m-lex_runderkamp,13,100.0,whisper_large_v3
.ms-n-m-wouter_bos,405,16.5,whisper_large_v3
.ms-n-m-wouter_de_winter,295,45.4,whisper_large_v3
.ms-z-m-geinterviewde_7_nos_journaal-20uur_2007_02_18,65,7.7,whisper_large_v3
.mt-m-alexander_pechtold,553,21.3,whisper_large_v3
